Hz,Mic_1m_dB,Comp_Acc_x_g,Comp_Acc_y_g,Comp_Acc_z_g
,,,,
0.0000000,-inf,0.0031893,0.0035787,0.0028968
12.5000000,13.83624792823822,0.0026564643438224426,0.0026917017851166205,0.0019245417636414128
25.0000000,27.053222604893392,0.0005812359675725514,0.00012520003993609586,0.0010350305889199603
37.5000000,23.428050825387103,0.0005993026030312233,0.00047778351792417454,0.0011328306493028867
50.0000000,26.850385598205495,0.0021533458639986284,0.0006243634358288448,0.0037780279406060516
62.5000000,33.872701041581976,0.005753791741104295,0.0007238029911515978,0.009072328791440487
75.0000000,33.94210109799323,0.010776861855846535,0.002797495460228667,0.011891660609015042
87.5000000,28.493507512031464,0.010412291400071359,0.0039650319065551035,0.009213225687021891
100.0000000,23.14213755224484,0.003149910363804024,0.001271737748122623,0.002582356212841288
112.5000000,23.86339782857044,0.00033983846162551995,0.0006746322257348814,0.0010024365765473645
125.0000000,28.640413725461002,0.0007335546673561556,0.000873754799700694,0.0011106888853319816
137.5000000,21.065289746020838,0.0021639382454219903,0.0016038424174463026,0.00012482708039524115
150.0000000,34.43588915285405,0.0066392079173648415,0.006434348352397467,0.004366122111210359
162.5000000,42.401604794865186,0.01047456701778169,0.04786382862851654,0.03526847942767025
175.0000000,50.087728006584896,0.03644661457597948,0.11963293730616163,0.09031665510795892
187.5000000,49.99199872577985,0.022297010185224387,0.07274354237758841,0.055495548078111634
200.0000000,50.34006631896749,0.0012930272889618377,0.0031756761673697145,0.0030933268627805887
212.5000000,49.50382273943552,0.001253172649717508,0.001994946698536079,0.001812745555779961
225.0000000,36.038567521838665,0.0002848585613949491,0.00046261779040585976,0.0010156222329193074
237.5000000,46.03808874818205,0.0010732829077181839,0.0006785040383078054,0.000342027732793702
250.0000000,43.859576928116084,0.001148080855166569,0.0007756808235350413,0.0007183698490332122
262.5000000,40.22853789764471,0.0006709497224084678,0.001247182143874743,0.0013553653123789173
275.0000000,46.12629515408084,0.011774459896317964,0.029837452322374978,0.034742306063357396
287.5000000,50.702482804718834,0.024222539741529995,0.061770090745117086,0.07273052337423401
300.0000000,50.87882253122913,0.012562645919550546,0.03127394183933327,0.03774677857420418
312.5000000,50.83048293400804,0.00015970097056686912,0.0017382580044400773,0.0009650129999124365
