C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_33000.xdf,13.06.25,10:24:17,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0012370,0.0000000,0.0000000,0.0010408,0.0000000,0.0000000,-0.0001666,0.0000000
,12.5000000,-0.0001333,-0.0000138,12.5000000,0.0011321,0.0003255,12.5000000,-0.0000129,0.0004023,12.5000000,-0.0002012,-0.0000174
,25.0000000,-0.0000710,0.0001107,25.0000000,-0.0004239,0.0003557,25.0000000,-0.0007894,-0.0004083,25.0000000,0.0003245,-0.0000920
,37.5000000,0.0002418,-0.0001125,37.5000000,0.0010181,-0.0004582,37.5000000,-0.0003507,-0.0001487,37.5000000,0.0018474,0.0013060
,50.0000000,-0.0004591,-0.0000058,50.0000000,-0.0043739,-0.0006125,50.0000000,0.0005784,0.0003211,50.0000000,-0.0085026,-0.0041355
,62.5000000,0.0003064,0.0003667,62.5000000,0.0048909,0.0032922,62.5000000,-0.0002530,0.0003455,62.5000000,0.0097722,0.0061672
,75.0000000,0.0001432,-0.0001234,75.0000000,-0.0019055,-0.0048177,75.0000000,-0.0005536,-0.0007856,75.0000000,-0.0022697,-0.0058656
,87.5000000,0.0000236,-0.0003733,87.5000000,0.0029147,0.0021616,87.5000000,0.0013287,-0.0013103,87.5000000,0.0008449,0.0041303
,100.0000000,0.0001768,0.0002293,100.0000000,-0.0027163,0.0001341,100.0000000,-0.0007689,0.0030107,100.0000000,-0.0019209,-0.0022203
,112.5000000,-0.0000515,-0.0005488,112.5000000,0.0006486,0.0018914,112.5000000,-0.0000681,-0.0017767,112.5000000,-0.0001301,0.0018782
,125.0000000,-0.0005162,0.0008721,125.0000000,-0.0014082,-0.0035941,125.0000000,-0.0006375,0.0005297,125.0000000,0.0003965,-0.0021953
,137.5000000,0.0007867,-0.0009215,137.5000000,0.0022669,0.0045031,137.5000000,0.0011997,0.0013680,137.5000000,0.0000562,0.0007892
,150.0000000,-0.0004481,0.0009545,150.0000000,-0.0004560,-0.0073489,150.0000000,-0.0036803,-0.0061091,150.0000000,0.0023136,0.0029010
,162.5000000,-0.0005116,0.0013478,162.5000000,0.0089703,-0.0063760,162.5000000,-0.0434375,-0.0188210,162.5000000,0.0321368,0.0164864
