C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_36000.xdf,13.06.25,10:30:17,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0007499,0.0000000,0.0000000,-0.0022614,0.0000000,0.0000000,0.0001520,0.0000000
,12.5000000,0.0000490,0.0000738,12.5000000,-0.0009726,0.0003232,12.5000000,0.0017304,0.0001130,12.5000000,0.0004026,0.0008449
,25.0000000,0.0004015,-0.0004056,25.0000000,0.0007044,0.0001750,25.0000000,-0.0003585,0.0003122,25.0000000,-0.0008062,-0.0027125
,37.5000000,-0.0003281,0.0003270,37.5000000,-0.0000159,-0.0001243,37.5000000,0.0003764,-0.0003467,37.5000000,0.0009256,0.0008440
,50.0000000,-0.0002596,0.0003699,50.0000000,-0.0011343,0.0014938,50.0000000,0.0002458,-0.0004031,50.0000000,-0.0049538,0.0049765
,62.5000000,-0.0001163,-0.0011406,62.5000000,0.0020127,-0.0036706,62.5000000,-0.0002298,0.0005311,62.5000000,0.0071169,-0.0071335
,75.0000000,-0.0004223,0.0006514,75.0000000,-0.0025816,0.0030597,75.0000000,-0.0001351,0.0002714,75.0000000,-0.0040728,0.0037265
,87.5000000,0.0005185,-0.0001737,87.5000000,0.0014194,-0.0016617,87.5000000,-0.0009427,-0.0006753,87.5000000,0.0023616,-0.0014770
,100.0000000,0.0001042,0.0001059,100.0000000,0.0002499,0.0008235,100.0000000,0.0015660,0.0004688,100.0000000,-0.0014394,0.0006366
,112.5000000,0.0001155,-0.0001314,112.5000000,0.0014025,0.0028712,112.5000000,0.0000881,-0.0006707,112.5000000,0.0001136,0.0033006
,125.0000000,-0.0003877,-0.0001602,125.0000000,-0.0035073,-0.0046901,125.0000000,-0.0005052,0.0008072,125.0000000,-0.0005004,-0.0052125
,137.5000000,-0.0001819,0.0002482,137.5000000,0.0000422,0.0034907,137.5000000,0.0001088,0.0018062,137.5000000,0.0003491,0.0008731
,150.0000000,0.0002587,-0.0001066,150.0000000,0.0042296,-0.0029082,150.0000000,0.0040731,-0.0037308,150.0000000,-0.0024748,0.0016580
,162.5000000,0.0010769,-0.0027486,162.5000000,-0.0080347,0.0140292,162.5000000,0.0437049,0.0076431,162.5000000,-0.0332500,-0.0064592
