C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_43500.xdf,13.06.25,10:43:40,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0039044,0.0000000,0.0000000,-0.0006060,0.0000000,0.0000000,-0.0001793,0.0000000
,12.5000000,-0.0000004,0.0000326,12.5000000,-0.0026168,-0.0002059,12.5000000,0.0002549,0.0001089,12.5000000,0.0001800,0.0006657
,25.0000000,0.0001604,-0.0001028,25.0000000,-0.0001809,-0.0002563,25.0000000,0.0002974,-0.0003249,25.0000000,-0.0004139,-0.0005324
,37.5000000,0.0000223,-0.0000900,37.5000000,0.0004200,0.0006913,37.5000000,-0.0004057,0.0002808,37.5000000,0.0018101,0.0016229
,50.0000000,-0.0003043,-0.0002426,50.0000000,-0.0012701,-0.0025323,50.0000000,0.0000091,-0.0001831,50.0000000,-0.0021066,-0.0067745
,62.5000000,0.0002792,0.0004636,62.5000000,0.0005089,0.0052489,62.5000000,0.0006374,0.0005247,62.5000000,-0.0005173,0.0089287
,75.0000000,0.0003535,0.0000715,75.0000000,0.0003176,-0.0025839,75.0000000,-0.0003369,0.0003974,75.0000000,0.0007891,-0.0037431
,87.5000000,-0.0003603,-0.0002846,87.5000000,0.0010722,-0.0031282,87.5000000,-0.0001098,-0.0023697,87.5000000,0.0018794,-0.0010389
,100.0000000,0.0000120,0.0000869,100.0000000,0.0002238,0.0013874,100.0000000,-0.0012562,0.0018397,100.0000000,0.0013991,0.0005134
,112.5000000,0.0000190,0.0001371,112.5000000,-0.0019580,0.0072395,112.5000000,0.0022115,-0.0006901,112.5000000,-0.0060055,0.0044525
,125.0000000,0.0005080,0.0004437,125.0000000,-0.0001066,-0.0098279,125.0000000,-0.0016677,0.0002917,125.0000000,0.0034931,-0.0063663
,137.5000000,-0.0011048,-0.0006760,137.5000000,0.0016496,0.0067105,137.5000000,0.0014304,0.0015495,137.5000000,-0.0003442,0.0018041
,150.0000000,0.0002630,0.0000813,150.0000000,0.0001400,-0.0074151,150.0000000,-0.0042400,-0.0052346,150.0000000,0.0024632,0.0026622
,162.5000000,0.0005441,0.0023094,162.5000000,0.0091250,-0.0070080,162.5000000,-0.0419089,-0.0205920,162.5000000,0.0310293,0.0177087
