C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_45500.xdf,13.06.25,10:46:37,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0004188,0.0000000,0.0000000,-0.0007237,0.0000000,0.0000000,0.0007183,0.0000000
,12.5000000,0.0002198,0.0001111,12.5000000,-0.0006198,0.0007498,12.5000000,0.0008699,-0.0001043,12.5000000,-0.0007235,-0.0007271
,25.0000000,-0.0002514,-0.0001947,25.0000000,0.0005546,-0.0004146,25.0000000,-0.0003535,0.0000525,25.0000000,0.0009027,0.0000333
,37.5000000,0.0003375,-0.0005312,37.5000000,-0.0002095,-0.0014469,37.5000000,0.0001009,-0.0002654,37.5000000,-0.0000997,-0.0014476
,50.0000000,-0.0000265,0.0008892,50.0000000,-0.0011413,0.0015744,50.0000000,-0.0001619,0.0003256,50.0000000,-0.0030150,0.0012948
,62.5000000,0.0000495,-0.0015910,62.5000000,0.0016641,-0.0017519,62.5000000,-0.0001058,-0.0007344,62.5000000,0.0037080,-0.0002611
,75.0000000,-0.0013544,0.0012459,75.0000000,0.0002353,0.0036911,75.0000000,0.0004322,0.0002894,75.0000000,-0.0010244,0.0043765
,87.5000000,0.0005957,-0.0004366,87.5000000,-0.0011673,-0.0004207,87.5000000,0.0005703,0.0013294,87.5000000,-0.0012353,-0.0030050
,100.0000000,0.0004978,-0.0001510,100.0000000,0.0015405,-0.0004193,100.0000000,-0.0018417,-0.0019648,100.0000000,0.0018899,0.0013538
,112.5000000,-0.0003748,-0.0003897,112.5000000,-0.0016128,-0.0009940,112.5000000,0.0018496,0.0020991,112.5000000,-0.0009959,-0.0031520
,125.0000000,0.0004527,0.0007393,125.0000000,-0.0003450,-0.0011789,125.0000000,-0.0002389,-0.0013060,125.0000000,-0.0012624,0.0005507
,137.5000000,-0.0010058,-0.0004108,137.5000000,0.0017039,-0.0007539,137.5000000,0.0004614,-0.0005709,137.5000000,0.0009024,0.0005809
,150.0000000,0.0015502,0.0000723,150.0000000,-0.0024699,0.0037715,150.0000000,0.0024326,0.0023818,150.0000000,-0.0023827,-0.0011000
,162.5000000,-0.0001967,-0.0020317,162.5000000,-0.0080797,0.0114106,162.5000000,0.0433499,0.0167673,162.5000000,-0.0323759,-0.0135109
