C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_41000.xdf,13.06.25,10:39:14,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0029775,0.0000000,0.0000000,-0.0044001,0.0000000,0.0000000,-0.0035873,0.0000000
,12.5000000,-0.0000518,-0.0001104,12.5000000,0.0021982,0.0001554,12.5000000,0.0034787,-0.0003550,12.5000000,0.0014391,-0.0004901
,25.0000000,0.0002446,0.0006331,25.0000000,-0.0004037,-0.0000732,25.0000000,-0.0005521,0.0002996,25.0000000,0.0025557,0.0011989
,37.5000000,0.0000484,-0.0002739,37.5000000,0.0002438,-0.0011493,37.5000000,0.0001954,0.0002267,37.5000000,-0.0007110,-0.0032462
,50.0000000,0.0000750,-0.0006922,50.0000000,-0.0012611,0.0014223,50.0000000,-0.0002959,0.0000029,50.0000000,-0.0035129,0.0027874
,62.5000000,-0.0004767,0.0009541,62.5000000,0.0033110,-0.0014060,62.5000000,0.0007522,-0.0007331,62.5000000,0.0054335,-0.0003067
,75.0000000,0.0010766,0.0002546,75.0000000,-0.0003938,0.0037916,75.0000000,0.0007618,0.0012303,75.0000000,-0.0028507,0.0023427
,87.5000000,-0.0008923,-0.0005815,87.5000000,-0.0041222,-0.0048964,87.5000000,-0.0026825,-0.0012458,87.5000000,-0.0004548,-0.0041879
,100.0000000,0.0001457,0.0001774,100.0000000,0.0016489,0.0029322,100.0000000,0.0020743,0.0003219,100.0000000,-0.0006606,0.0021976
,112.5000000,0.0002967,0.0002619,112.5000000,0.0021506,0.0009000,112.5000000,-0.0017403,0.0011235,112.5000000,0.0028716,-0.0001511
,125.0000000,-0.0007170,-0.0008106,125.0000000,-0.0028535,-0.0043981,125.0000000,0.0003361,-0.0006200,125.0000000,-0.0014991,-0.0022019
,137.5000000,0.0004892,0.0004858,137.5000000,0.0050524,0.0047210,137.5000000,0.0031721,0.0010319,137.5000000,-0.0006216,0.0013230
,150.0000000,0.0003067,0.0000283,150.0000000,-0.0070694,-0.0053010,150.0000000,-0.0057644,0.0005384,150.0000000,0.0024973,-0.0010489
,162.5000000,0.0027920,0.0003638,162.5000000,-0.0098958,-0.0025216,162.5000000,-0.0063208,0.0496184,162.5000000,0.0069885,-0.0367992
