C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_37000.xdf,13.06.25,10:32:24,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0008832,0.0000000,0.0000000,-0.0017149,0.0000000,0.0000000,-0.0035172,0.0000000
,12.5000000,-0.0000249,0.0000821,12.5000000,0.0006004,-0.0006035,12.5000000,0.0008879,0.0006715,12.5000000,0.0023536,-0.0007859
,25.0000000,0.0005948,-0.0002932,25.0000000,0.0000447,0.0004562,25.0000000,0.0006595,-0.0003328,25.0000000,0.0002951,0.0013166
,37.5000000,-0.0010257,-0.0002783,37.5000000,-0.0002835,0.0009696,37.5000000,-0.0004706,-0.0001134,37.5000000,-0.0012204,0.0013986
,50.0000000,0.0004541,0.0007512,50.0000000,0.0005549,-0.0030635,50.0000000,-0.0001285,0.0002660,50.0000000,0.0033017,-0.0078426
,62.5000000,-0.0004525,-0.0001727,62.5000000,0.0003566,0.0051878,62.5000000,0.0008434,0.0000926,62.5000000,-0.0029834,0.0111402
,75.0000000,0.0006691,-0.0007766,75.0000000,0.0013745,-0.0060781,75.0000000,0.0001684,-0.0010760,75.0000000,0.0024381,-0.0080108
,87.5000000,-0.0002166,0.0001772,87.5000000,-0.0049650,0.0021146,87.5000000,-0.0029806,0.0008641,87.5000000,-0.0031737,0.0016086
,100.0000000,0.0000425,0.0001023,100.0000000,0.0031804,0.0002572,100.0000000,0.0025940,0.0013694,100.0000000,0.0022011,-0.0000064
,112.5000000,-0.0002862,0.0005042,112.5000000,0.0014149,0.0014343,112.5000000,-0.0004752,-0.0018350,112.5000000,-0.0001171,0.0022013
,125.0000000,0.0006059,-0.0007530,125.0000000,-0.0022818,-0.0036357,125.0000000,-0.0008374,-0.0006776,125.0000000,-0.0009105,-0.0019559
,137.5000000,-0.0004701,-0.0001616,137.5000000,-0.0000941,0.0080601,137.5000000,0.0014989,0.0040470,137.5000000,-0.0000093,0.0007263
,150.0000000,0.0002312,0.0011798,150.0000000,0.0010189,-0.0102353,150.0000000,-0.0048834,-0.0056998,150.0000000,0.0034654,0.0009823
,162.5000000,0.0011950,0.0016277,162.5000000,0.0044802,-0.0106420,162.5000000,-0.0493401,0.0002139,162.5000000,0.0372386,0.0024484
