C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_40000.xdf,13.06.25,10:37:16,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0009598,0.0000000,0.0000000,-0.0014050,0.0000000,0.0000000,-0.0007867,0.0000000
,12.5000000,-0.0000861,-0.0000611,12.5000000,-0.0007636,-0.0005211,12.5000000,0.0010912,-0.0002974,12.5000000,0.0003982,-0.0003570
,25.0000000,0.0001116,0.0001801,25.0000000,-0.0004136,0.0002052,25.0000000,-0.0000786,-0.0002490,25.0000000,0.0000019,0.0007413
,37.5000000,0.0000421,-0.0001650,37.5000000,0.0009185,-0.0000932,37.5000000,0.0000459,0.0008865,37.5000000,-0.0001904,-0.0000979
,50.0000000,-0.0001600,0.0008349,50.0000000,0.0003175,0.0008515,50.0000000,0.0001011,-0.0009865,50.0000000,0.0020582,0.0007097
,62.5000000,0.0008452,-0.0006461,62.5000000,0.0002989,-0.0016330,62.5000000,-0.0002484,0.0003493,62.5000000,-0.0010397,-0.0024075
,75.0000000,-0.0006506,-0.0005828,75.0000000,-0.0014759,0.0000876,75.0000000,0.0003672,-0.0001598,75.0000000,-0.0013684,0.0006001
,87.5000000,0.0000248,0.0005526,87.5000000,-0.0001817,0.0011092,87.5000000,-0.0000691,-0.0000743,87.5000000,-0.0002040,0.0011844
,100.0000000,0.0002692,0.0002449,100.0000000,0.0006956,-0.0028151,100.0000000,-0.0004169,0.0019685,100.0000000,0.0020056,-0.0033283
,112.5000000,0.0001041,-0.0000476,112.5000000,-0.0002683,0.0086324,112.5000000,0.0006068,-0.0032824,112.5000000,-0.0030246,0.0076102
,125.0000000,-0.0012609,-0.0001990,125.0000000,-0.0003876,-0.0093376,125.0000000,-0.0004159,0.0013777,125.0000000,0.0013434,-0.0064727
,137.5000000,0.0008908,0.0005524,137.5000000,0.0028569,0.0003367,137.5000000,0.0009065,-0.0030864,137.5000000,0.0006210,0.0034774
,150.0000000,0.0002446,-0.0005840,150.0000000,-0.0036130,0.0056521,150.0000000,0.0002665,0.0025463,150.0000000,-0.0011971,-0.0007596
,162.5000000,-0.0019717,-0.0003303,162.5000000,0.0117916,0.0087216,162.5000000,0.0256032,-0.0426297,162.5000000,-0.0205408,0.0310280
