C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_34500.xdf,13.06.25,10:27:15,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0025756,0.0000000,0.0000000,0.0010644,0.0000000,0.0000000,0.0012637,0.0000000
,12.5000000,0.0001253,0.0000834,12.5000000,0.0020092,-0.0001301,12.5000000,-0.0009961,-0.0000353,12.5000000,-0.0016909,-0.0003014
,25.0000000,-0.0001271,-0.0003929,25.0000000,-0.0004040,0.0000032,25.0000000,0.0001679,-0.0004574,25.0000000,0.0020353,-0.0005061
,37.5000000,0.0002330,-0.0000269,37.5000000,0.0007076,-0.0008345,37.5000000,0.0002805,0.0004836,37.5000000,-0.0003260,-0.0007248
,50.0000000,-0.0002462,0.0004293,50.0000000,-0.0018233,0.0013247,50.0000000,-0.0003877,0.0002187,50.0000000,-0.0037420,0.0000183
,62.5000000,0.0000532,-0.0011230,62.5000000,0.0046827,-0.0011187,62.5000000,0.0005358,-0.0011263,62.5000000,0.0074732,0.0019590
,75.0000000,-0.0002520,0.0019326,75.0000000,-0.0045737,0.0010675,75.0000000,-0.0000822,0.0008436,75.0000000,-0.0071333,-0.0002872
,87.5000000,0.0002067,-0.0012835,87.5000000,-0.0007482,0.0005527,87.5000000,-0.0011809,0.0011011,87.5000000,0.0012689,-0.0009984
,100.0000000,0.0001045,0.0001190,100.0000000,0.0020982,-0.0012009,100.0000000,0.0003212,-0.0006984,100.0000000,0.0021347,-0.0001190
,112.5000000,-0.0002823,0.0004298,112.5000000,-0.0014863,0.0021365,112.5000000,0.0008419,-0.0004134,112.5000000,-0.0019125,0.0016639
,125.0000000,0.0002458,-0.0005047,125.0000000,0.0033803,-0.0027345,125.0000000,-0.0001357,0.0005841,125.0000000,0.0024114,-0.0021537
,137.5000000,0.0000640,0.0001982,137.5000000,-0.0016224,-0.0004841,137.5000000,-0.0000710,-0.0003700,137.5000000,-0.0013740,0.0003594
,150.0000000,0.0001272,-0.0002258,150.0000000,-0.0027965,0.0000723,150.0000000,-0.0035914,0.0030999,150.0000000,0.0018835,-0.0019952
,162.5000000,0.0011554,0.0003247,162.5000000,-0.0077320,-0.0099633,162.5000000,-0.0262895,0.0389846,162.5000000,0.0222988,-0.0283357
