C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_42500.xdf,13.06.25,10:41:24,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0004018,0.0000000,0.0000000,-0.0005366,0.0000000,0.0000000,0.0000271,0.0000000
,12.5000000,0.0000020,0.0000213,12.5000000,0.0000552,-0.0001011,12.5000000,0.0001805,-0.0014716,12.5000000,0.0011994,-0.0001906
,25.0000000,0.0004172,0.0000826,25.0000000,0.0001401,0.0003983,25.0000000,0.0003638,0.0003474,25.0000000,-0.0023767,0.0006187
,37.5000000,-0.0003415,-0.0001551,37.5000000,-0.0000819,-0.0002285,37.5000000,-0.0001036,0.0006409,37.5000000,0.0004999,-0.0020073
,50.0000000,0.0000908,-0.0004079,50.0000000,0.0019028,0.0005889,50.0000000,0.0002904,-0.0002892,50.0000000,0.0034428,0.0045093
,62.5000000,-0.0001491,0.0008324,62.5000000,-0.0016063,-0.0011100,62.5000000,-0.0001648,-0.0002374,62.5000000,-0.0032431,-0.0039217
,75.0000000,-0.0008736,-0.0003637,75.0000000,-0.0031263,0.0019882,75.0000000,-0.0010437,0.0008502,75.0000000,-0.0024240,0.0011045
,87.5000000,0.0007276,-0.0004680,87.5000000,0.0034402,-0.0019039,87.5000000,0.0011420,-0.0003660,87.5000000,0.0036720,-0.0008125
,100.0000000,-0.0000767,0.0004096,100.0000000,-0.0005124,0.0012773,100.0000000,-0.0003320,-0.0012298,100.0000000,-0.0017420,0.0012919
,112.5000000,0.0003827,-0.0006984,112.5000000,0.0026348,-0.0015036,112.5000000,-0.0003005,0.0012701,112.5000000,0.0030638,-0.0006736
,125.0000000,-0.0004212,0.0006001,125.0000000,-0.0051430,0.0001653,125.0000000,0.0000028,-0.0013280,125.0000000,-0.0033754,0.0008489
,137.5000000,0.0002221,-0.0001724,137.5000000,0.0052431,0.0025973,137.5000000,0.0017206,0.0006049,137.5000000,0.0010850,-0.0000945
,150.0000000,-0.0001229,0.0005234,150.0000000,-0.0029395,-0.0035411,150.0000000,-0.0028948,-0.0025517,150.0000000,0.0008147,0.0012758
,162.5000000,-0.0018429,0.0006160,162.5000000,0.0156188,0.0015804,162.5000000,-0.0117056,-0.0465756,162.5000000,0.0079192,0.0358809
