C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_35000.xdf,13.06.25,10:27:51,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0028101,0.0000000,0.0000000,-0.0009016,0.0000000,0.0000000,-0.0003178,0.0000000
,12.5000000,-0.0002299,-0.0001259,12.5000000,-0.0018227,0.0005197,12.5000000,0.0008476,0.0007665,12.5000000,0.0006685,0.0008674
,25.0000000,0.0002848,0.0002944,25.0000000,-0.0004534,-0.0001885,25.0000000,-0.0006411,-0.0002829,25.0000000,-0.0002730,-0.0022504
,37.5000000,0.0000146,-0.0000731,37.5000000,-0.0001584,0.0009083,37.5000000,0.0007846,-0.0001902,37.5000000,-0.0027186,0.0024298
,50.0000000,-0.0007582,0.0008601,50.0000000,0.0020199,-0.0032400,50.0000000,-0.0007665,0.0003100,50.0000000,0.0075278,-0.0052494
,62.5000000,0.0011356,-0.0008918,62.5000000,-0.0005217,0.0029784,62.5000000,0.0009079,-0.0003682,62.5000000,-0.0052656,0.0060435
,75.0000000,0.0002623,0.0009651,75.0000000,-0.0069645,0.0011268,75.0000000,-0.0016496,0.0018442,75.0000000,-0.0054154,-0.0023606
,87.5000000,-0.0002754,-0.0003654,87.5000000,0.0093006,-0.0047939,87.5000000,0.0007955,-0.0044232,87.5000000,0.0093550,0.0005073
,100.0000000,-0.0000552,0.0001073,100.0000000,-0.0026696,0.0029482,100.0000000,0.0007410,0.0035769,100.0000000,-0.0030302,-0.0003800
,112.5000000,-0.0002347,0.0002319,112.5000000,-0.0012150,0.0018418,112.5000000,-0.0002922,-0.0008724,112.5000000,-0.0022053,0.0003522
,125.0000000,0.0000773,-0.0002196,125.0000000,-0.0003760,-0.0033539,125.0000000,-0.0007206,-0.0004706,125.0000000,0.0016667,-0.0003586
,137.5000000,0.0001431,0.0001000,137.5000000,0.0005776,-0.0011041,137.5000000,-0.0013777,-0.0011962,137.5000000,0.0014854,0.0012017
,150.0000000,-0.0004413,0.0001330,150.0000000,0.0016013,0.0045676,150.0000000,0.0005723,0.0008278,150.0000000,-0.0004552,0.0003287
,162.5000000,-0.0006200,0.0014917,162.5000000,0.0110451,-0.0089219,162.5000000,-0.0339657,-0.0332332,162.5000000,0.0243877,0.0256596
