C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_37500.xdf,13.06.25,10:33:14,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0001770,0.0000000,0.0000000,-0.0009380,0.0000000,0.0000000,-0.0024545,0.0000000
,12.5000000,-0.0001174,0.0000034,12.5000000,-0.0001392,-0.0001954,12.5000000,0.0009432,0.0003822,12.5000000,0.0010927,-0.0002069
,25.0000000,0.0003218,-0.0001464,25.0000000,0.0005345,0.0000296,25.0000000,-0.0004418,-0.0005478,25.0000000,0.0011526,-0.0002008
,37.5000000,-0.0001037,0.0000147,37.5000000,-0.0005875,-0.0001547,37.5000000,0.0002068,0.0005428,37.5000000,-0.0012886,-0.0004062
,50.0000000,0.0007408,0.0012428,50.0000000,0.0020226,0.0005462,50.0000000,0.0000034,-0.0002807,50.0000000,0.0041884,0.0023380
,62.5000000,-0.0004019,-0.0014095,62.5000000,-0.0023750,-0.0012160,62.5000000,-0.0000941,-0.0002287,62.5000000,-0.0043569,-0.0031230
,75.0000000,-0.0009316,-0.0006659,75.0000000,0.0015261,0.0016467,75.0000000,0.0002590,0.0005345,75.0000000,0.0008153,0.0021515
,87.5000000,0.0006619,0.0009729,87.5000000,-0.0021138,-0.0012852,87.5000000,-0.0007245,-0.0005554,87.5000000,-0.0005730,-0.0010944
,100.0000000,-0.0001664,-0.0000761,100.0000000,0.0015504,0.0009504,100.0000000,0.0000110,0.0006181,100.0000000,0.0013680,0.0003955
,112.5000000,-0.0001747,0.0003349,112.5000000,-0.0021431,-0.0040839,112.5000000,0.0007967,0.0007068,112.5000000,-0.0011348,-0.0035118
,125.0000000,0.0004418,-0.0002616,125.0000000,0.0036295,0.0052834,125.0000000,-0.0009184,-0.0008792,125.0000000,0.0016499,0.0047942
,137.5000000,-0.0005983,-0.0000409,137.5000000,-0.0049115,0.0008044,137.5000000,-0.0006151,0.0029852,137.5000000,-0.0009097,-0.0028904
,150.0000000,0.0004065,0.0004222,150.0000000,0.0054328,-0.0068354,150.0000000,-0.0003137,-0.0039223,150.0000000,0.0015645,0.0015164
,162.5000000,0.0030038,0.0006750,162.5000000,-0.0117046,-0.0076846,162.5000000,-0.0316316,0.0427744,162.5000000,0.0246312,-0.0306941
