C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_32000.xdf,13.06.25,10:22:14,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0016894,0.0000000,0.0000000,-0.0015037,0.0000000,0.0000000,-0.0045063,0.0000000
,12.5000000,0.0002690,0.0000452,12.5000000,0.0010274,-0.0002479,12.5000000,0.0009325,0.0000840,12.5000000,0.0030036,0.0002597
,25.0000000,-0.0003194,0.0000114,25.0000000,0.0000649,0.0005275,25.0000000,0.0000536,0.0000149,25.0000000,0.0001895,-0.0004163
,37.5000000,-0.0003418,-0.0003911,37.5000000,0.0002776,-0.0013134,37.5000000,0.0001277,-0.0003365,37.5000000,-0.0002253,0.0000204
,50.0000000,0.0001747,0.0006966,50.0000000,0.0011566,0.0040396,50.0000000,0.0001605,0.0008272,50.0000000,0.0026859,0.0037585
,62.5000000,0.0000119,-0.0004287,62.5000000,-0.0032228,-0.0045270,62.5000000,-0.0004908,-0.0005146,62.5000000,-0.0053368,-0.0067258
,75.0000000,0.0005449,-0.0009508,75.0000000,0.0019193,-0.0018117,75.0000000,-0.0003537,-0.0007133,75.0000000,0.0043500,0.0000618
,87.5000000,-0.0001594,0.0009008,87.5000000,0.0005201,0.0051857,87.5000000,-0.0004091,-0.0001092,87.5000000,-0.0008257,0.0057319
,100.0000000,-0.0001709,-0.0003310,100.0000000,-0.0014185,-0.0010817,100.0000000,0.0021403,0.0027129,100.0000000,-0.0022077,-0.0038821
,112.5000000,0.0002532,0.0002376,112.5000000,0.0011491,-0.0002573,112.5000000,-0.0015534,-0.0015656,112.5000000,0.0031057,0.0015501
,125.0000000,-0.0004019,-0.0002497,125.0000000,-0.0002064,-0.0035018,125.0000000,-0.0005528,-0.0009284,125.0000000,-0.0013166,-0.0013903
,137.5000000,0.0000845,0.0000374,137.5000000,0.0009262,0.0007460,137.5000000,-0.0006153,-0.0010824,137.5000000,0.0013506,0.0020771
,150.0000000,-0.0004860,0.0001951,150.0000000,-0.0018727,0.0052330,150.0000000,-0.0017456,0.0046473,150.0000000,0.0006557,-0.0024808
,162.5000000,0.0017004,0.0025851,162.5000000,0.0053711,-0.0174631,162.5000000,-0.0454026,-0.0033277,162.5000000,0.0348885,0.0034092
