C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_32500.xdf,13.06.25,10:22:49,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0040320,0.0000000,0.0000000,-0.0001843,0.0000000,0.0000000,0.0045357,0.0000000
,12.5000000,0.0000703,-0.0001121,12.5000000,0.0024069,-0.0004265,12.5000000,-0.0002164,0.0000206,12.5000000,-0.0044924,-0.0002744
,25.0000000,-0.0000025,0.0004227,25.0000000,0.0006725,0.0003796,25.0000000,0.0005057,-0.0002012,25.0000000,0.0026219,0.0004114
,37.5000000,-0.0000749,-0.0000284,37.5000000,-0.0000786,-0.0001788,37.5000000,-0.0002633,0.0000934,37.5000000,-0.0003801,-0.0006155
,50.0000000,0.0002465,-0.0001663,50.0000000,-0.0002028,0.0011314,50.0000000,0.0000879,0.0001916,50.0000000,-0.0029223,0.0037680
,62.5000000,-0.0008246,0.0002919,62.5000000,-0.0000344,-0.0042131,62.5000000,-0.0000594,-0.0002199,62.5000000,0.0033887,-0.0074828
,75.0000000,0.0001350,0.0000856,75.0000000,-0.0014570,0.0066057,75.0000000,-0.0005461,0.0010540,75.0000000,-0.0032408,0.0068734
,87.5000000,0.0003992,-0.0000013,87.5000000,0.0034909,-0.0038738,87.5000000,0.0012255,-0.0011112,87.5000000,0.0034062,-0.0026103
,100.0000000,-0.0000681,-0.0002620,100.0000000,0.0000956,0.0007419,100.0000000,-0.0015222,-0.0002129,100.0000000,0.0003327,0.0010278
,112.5000000,-0.0002936,0.0005505,112.5000000,-0.0062814,0.0042936,112.5000000,0.0027575,0.0006916,112.5000000,-0.0065639,0.0003852
,125.0000000,-0.0002290,-0.0002893,125.0000000,0.0048448,-0.0097433,125.0000000,-0.0025756,0.0003113,125.0000000,0.0060948,-0.0047874
,137.5000000,0.0009336,-0.0001550,137.5000000,0.0004756,0.0067070,137.5000000,0.0014720,0.0009456,137.5000000,-0.0016606,0.0027583
,150.0000000,-0.0004482,0.0001170,150.0000000,-0.0033944,-0.0037995,150.0000000,-0.0034047,0.0010792,150.0000000,0.0019635,-0.0015450
,162.5000000,0.0020702,0.0006289,162.5000000,-0.0098596,-0.0060612,162.5000000,-0.0162029,0.0441507,162.5000000,0.0140483,-0.0322655
