C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_38500.xdf,13.06.25,10:34:42,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0022420,0.0000000,0.0000000,0.0003495,0.0000000,0.0000000,-0.0025826,0.0000000
,12.5000000,-0.0000823,-0.0000606,12.5000000,0.0022518,0.0003638,12.5000000,-0.0003330,-0.0006542,12.5000000,0.0031109,0.0012571
,25.0000000,-0.0000498,0.0001412,25.0000000,-0.0011931,-0.0002385,25.0000000,-0.0001836,0.0009446,25.0000000,-0.0028215,-0.0023243
,37.5000000,-0.0004278,0.0000867,37.5000000,0.0006239,-0.0012700,37.5000000,0.0000418,-0.0006362,37.5000000,0.0033122,0.0013470
,50.0000000,0.0008244,-0.0003659,50.0000000,-0.0000091,0.0016591,50.0000000,0.0003660,0.0001483,50.0000000,-0.0030978,-0.0004781
,62.5000000,-0.0006468,0.0010504,62.5000000,-0.0020860,0.0008029,62.5000000,-0.0003441,0.0005092,62.5000000,-0.0004459,0.0012097
,75.0000000,-0.0002815,-0.0005809,75.0000000,0.0058450,-0.0014035,75.0000000,0.0012910,-0.0009536,75.0000000,0.0048616,0.0002479
,87.5000000,0.0006440,-0.0000627,87.5000000,-0.0058741,0.0001817,87.5000000,-0.0022388,0.0011407,87.5000000,-0.0039951,-0.0023659
,100.0000000,-0.0002638,0.0002638,100.0000000,0.0014111,-0.0008947,100.0000000,0.0017577,-0.0001703,100.0000000,0.0002623,0.0000081
,112.5000000,0.0006692,-0.0001620,112.5000000,0.0040030,0.0039822,112.5000000,-0.0013144,-0.0010404,112.5000000,0.0026061,0.0052162
,125.0000000,-0.0006611,-0.0005783,125.0000000,-0.0066778,-0.0053496,125.0000000,0.0000963,0.0011973,125.0000000,-0.0027923,-0.0063604
,137.5000000,0.0001793,0.0008334,137.5000000,0.0001526,0.0003349,137.5000000,-0.0022414,0.0006343,137.5000000,0.0020274,0.0011528
,150.0000000,0.0005316,0.0004075,150.0000000,0.0056147,0.0027945,150.0000000,0.0037603,0.0011556,150.0000000,-0.0012361,-0.0003058
,162.5000000,0.0010847,-0.0002201,162.5000000,-0.0143171,-0.0114286,162.5000000,-0.0241355,0.0461658,162.5000000,0.0190427,-0.0342756
