C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_35500.xdf,13.06.25,10:28:56,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0009941,0.0000000,0.0000000,-0.0016734,0.0000000,0.0000000,0.0014960,0.0000000
,12.5000000,-0.0002582,-0.0001112,12.5000000,-0.0005159,0.0005075,12.5000000,0.0012136,-0.0006539,12.5000000,-0.0009850,-0.0004365
,25.0000000,-0.0000837,0.0003305,25.0000000,-0.0006471,0.0002390,25.0000000,0.0002064,0.0001391,25.0000000,0.0002676,-0.0004378
,37.5000000,0.0003575,0.0004567,37.5000000,0.0005620,-0.0006597,37.5000000,-0.0003565,0.0000956,37.5000000,-0.0008246,0.0020613
,50.0000000,0.0000399,-0.0010292,50.0000000,0.0017682,-0.0005093,50.0000000,0.0004447,0.0001674,50.0000000,0.0043484,-0.0047075
,62.5000000,0.0002493,0.0010065,62.5000000,-0.0040252,0.0000277,62.5000000,-0.0007084,-0.0000848,62.5000000,-0.0073534,0.0023496
,75.0000000,-0.0002027,-0.0000012,75.0000000,0.0026893,0.0024112,75.0000000,0.0006219,-0.0001691,75.0000000,0.0040364,0.0027689
,87.5000000,0.0000731,-0.0000954,87.5000000,-0.0008898,-0.0011827,87.5000000,-0.0000222,0.0009391,87.5000000,-0.0011303,-0.0018798
,100.0000000,-0.0000468,-0.0000508,100.0000000,0.0017851,-0.0006429,100.0000000,-0.0009132,-0.0014781,100.0000000,0.0017658,0.0006801
,112.5000000,-0.0000264,-0.0000155,112.5000000,-0.0056172,-0.0000007,112.5000000,0.0012706,0.0005298,112.5000000,-0.0034496,-0.0017414
,125.0000000,-0.0002174,0.0004595,125.0000000,0.0085263,0.0002362,125.0000000,0.0002269,-0.0004059,125.0000000,0.0035192,0.0008797
,137.5000000,0.0000200,-0.0009345,137.5000000,-0.0026081,-0.0008608,137.5000000,0.0003538,-0.0019338,137.5000000,-0.0020115,0.0017199
,150.0000000,0.0002136,0.0009401,150.0000000,-0.0043590,0.0023774,150.0000000,-0.0017517,0.0023125,150.0000000,0.0004617,-0.0015416
,162.5000000,-0.0020508,-0.0021022,162.5000000,0.0147234,0.0050277,162.5000000,0.0139360,-0.0462647,162.5000000,-0.0113534,0.0345773
