C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_44000.xdf,13.06.25,10:44:35,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0022751,0.0000000,0.0000000,0.0007602,0.0000000,0.0000000,-0.0019503,0.0000000
,12.5000000,0.0001672,-0.0000574,12.5000000,-0.0015990,0.0000912,12.5000000,-0.0003256,-0.0001035,12.5000000,0.0018129,0.0010053
,25.0000000,-0.0000995,0.0000292,25.0000000,0.0002215,0.0005528,25.0000000,-0.0001974,0.0000267,25.0000000,-0.0007274,-0.0012331
,37.5000000,-0.0000628,0.0003862,37.5000000,-0.0001504,-0.0007766,37.5000000,0.0000555,-0.0003032,37.5000000,-0.0003086,-0.0004507
,50.0000000,-0.0000724,0.0001422,50.0000000,-0.0006025,0.0028113,50.0000000,-0.0001738,0.0005159,50.0000000,0.0002391,0.0067340
,62.5000000,0.0006617,-0.0005893,62.5000000,0.0002894,-0.0041602,62.5000000,0.0000191,-0.0001630,62.5000000,0.0001428,-0.0096468
,75.0000000,-0.0007082,0.0006034,75.0000000,-0.0016357,0.0015257,75.0000000,-0.0009783,0.0001517,75.0000000,-0.0002513,0.0030539
,87.5000000,0.0000371,-0.0001485,87.5000000,0.0034686,0.0006504,87.5000000,0.0022034,0.0005511,87.5000000,0.0011525,0.0012840
,100.0000000,0.0001595,-0.0003160,100.0000000,-0.0008381,-0.0012766,100.0000000,-0.0016301,-0.0012671,100.0000000,0.0004542,-0.0006047
,112.5000000,-0.0006984,0.0007918,112.5000000,-0.0023672,0.0013225,112.5000000,0.0004469,0.0007040,112.5000000,-0.0025507,0.0002864
,125.0000000,0.0012687,-0.0008610,125.0000000,0.0024050,-0.0011352,125.0000000,-0.0001544,-0.0001961,125.0000000,0.0023985,-0.0000336
,137.5000000,-0.0012453,0.0007078,137.5000000,0.0001180,0.0004609,137.5000000,0.0003290,0.0004978,137.5000000,-0.0004233,0.0000842
,150.0000000,0.0007112,-0.0005177,150.0000000,-0.0027914,0.0016212,150.0000000,-0.0002277,0.0042178,150.0000000,-0.0007167,-0.0035738
,162.5000000,0.0030450,0.0003787,162.5000000,-0.0114964,-0.0093840,162.5000000,-0.0135525,0.0428914,162.5000000,0.0116783,-0.0321749
