C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_38000.xdf,13.06.25,10:34:10,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0003647,0.0000000,0.0000000,0.0003193,0.0000000,0.0000000,-0.0011724,0.0000000
,12.5000000,0.0001100,0.0000448,12.5000000,-0.0000418,-0.0006321,12.5000000,-0.0006124,0.0006083,12.5000000,0.0010691,-0.0012375
,25.0000000,0.0001053,-0.0001359,25.0000000,-0.0000099,0.0010239,25.0000000,0.0006499,-0.0001306,25.0000000,-0.0007618,0.0024467
,37.5000000,-0.0002663,-0.0002175,37.5000000,0.0009985,-0.0011579,37.5000000,-0.0007262,0.0001139,37.5000000,0.0023424,-0.0032600
,50.0000000,-0.0001812,0.0001163,50.0000000,-0.0009790,0.0019586,50.0000000,0.0003059,-0.0008825,50.0000000,-0.0033338,0.0067054
,62.5000000,0.0005855,0.0001263,62.5000000,0.0010388,-0.0021917,62.5000000,0.0001511,0.0006165,62.5000000,0.0025829,-0.0061960
,75.0000000,-0.0011602,-0.0000867,75.0000000,-0.0012786,-0.0003605,75.0000000,-0.0006627,-0.0006017,75.0000000,-0.0008403,0.0008198
,87.5000000,0.0006274,0.0001685,87.5000000,0.0011695,0.0040536,87.5000000,0.0019134,0.0021646,87.5000000,-0.0006951,0.0021425
,100.0000000,-0.0000765,-0.0000794,100.0000000,-0.0003677,-0.0029719,100.0000000,-0.0022396,-0.0024520,100.0000000,0.0006863,-0.0007292
,112.5000000,0.0003226,-0.0001531,112.5000000,-0.0013638,0.0020210,112.5000000,0.0005056,0.0012013,112.5000000,-0.0001764,0.0006348
,125.0000000,-0.0000590,-0.0001641,125.0000000,0.0021856,-0.0028433,125.0000000,0.0001698,-0.0002322,125.0000000,0.0007495,-0.0024967
,137.5000000,-0.0000583,0.0007176,137.5000000,-0.0023384,0.0032661,137.5000000,-0.0006655,0.0018502,137.5000000,-0.0007124,0.0002728
,150.0000000,-0.0000510,0.0001451,150.0000000,0.0031327,-0.0078470,150.0000000,-0.0028439,-0.0069504,150.0000000,0.0031741,0.0035232
,162.5000000,0.0010662,0.0010387,162.5000000,0.0065278,-0.0068459,162.5000000,-0.0460381,-0.0091166,162.5000000,0.0336179,0.0101949
