C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_46000.xdf,13.06.25,10:47:22,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,0.0032026,0.0000000,0.0000000,0.0001899,0.0000000,0.0000000,-0.0040094,0.0000000
,12.5000000,-0.0000524,0.0000120,12.5000000,-0.0024523,-0.0001087,12.5000000,-0.0002558,0.0008755,12.5000000,0.0034330,0.0003957
,25.0000000,0.0004705,-0.0000720,25.0000000,0.0003419,-0.0005840,25.0000000,0.0000289,0.0000324,25.0000000,-0.0011904,-0.0003949
,37.5000000,-0.0006595,0.0001313,37.5000000,0.0009504,0.0004801,37.5000000,0.0001497,-0.0008638,37.5000000,0.0026908,0.0020786
,50.0000000,0.0004590,-0.0001984,50.0000000,-0.0018639,-0.0012788,50.0000000,-0.0003185,0.0003033,50.0000000,-0.0037550,-0.0069302
,62.5000000,-0.0011068,0.0004648,62.5000000,-0.0007121,0.0000816,62.5000000,-0.0000297,-0.0001456,62.5000000,0.0001393,0.0046492
,75.0000000,0.0013867,-0.0010887,75.0000000,0.0016244,0.0028036,75.0000000,-0.0000547,0.0002555,75.0000000,0.0022668,0.0026771
,87.5000000,-0.0006711,0.0009146,87.5000000,0.0014552,-0.0000458,87.5000000,0.0018996,-0.0002080,87.5000000,-0.0005208,-0.0002137
,100.0000000,-0.0001163,-0.0004340,100.0000000,-0.0022212,-0.0025460,100.0000000,-0.0027078,0.0003245,100.0000000,0.0004927,-0.0034366
,112.5000000,0.0007345,0.0005600,112.5000000,-0.0011287,0.0029917,112.5000000,0.0006255,-0.0005763,112.5000000,-0.0022352,0.0032853
,125.0000000,-0.0011841,-0.0003446,125.0000000,0.0048981,-0.0024148,125.0000000,0.0005369,0.0009105,125.0000000,0.0030600,-0.0025931
,137.5000000,0.0009787,0.0005179,137.5000000,-0.0036366,-0.0040937,137.5000000,-0.0019119,-0.0034468,137.5000000,-0.0004360,0.0013351
,150.0000000,-0.0001558,-0.0006933,150.0000000,0.0008424,0.0065493,150.0000000,0.0001441,0.0023162,150.0000000,0.0001903,0.0000173
,162.5000000,0.0001817,0.0024249,162.5000000,0.0129787,-0.0110222,162.5000000,-0.0379512,-0.0326895,162.5000000,0.0283235,0.0257040
