C:\Simcenter\Testxpress\ProjectData\BMW_GS_Test_260907\Data\Down_128.xdf,07.09.26,13:55:01,,,
,M4: Comp_Name_plate_x : SORD(C1,R1) Time[s],M4: Comp_Name_plate_x : SORD(C1,R1) [g],M5: Comp_Name_plate_x : LEVEL(C1) Time[s],M5: Comp_Name_plate_x : LEVEL(C1) [g],M6: Comp_Name_plate_y : SORD(C2,R1) Time[s],M6: Comp_Name_plate_y : SORD(C2,R1) [g],M7: Comp_Name_plate_y : LEVEL(C2) Time[s],M7: Comp_Name_plate_y : LEVEL(C2) [g],M8: Comp_Name_plate_z : SORD(C3,R1) Time[s],M8: Comp_Name_plate_z : SORD(C3,R1) [g],M9: Comp_Name_plate_z : LEVEL(C3) Time[s],M9: Comp_Name_plate_z : LEVEL(C3) [g],M10: LEVEL(R1) Time[s],M10: LEVEL(R1) [rpm]
Unit,s,g,s,g,s,g,s,g,s,g,s,g,s,rpm
Sensor,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,Tacho1
PointDir,,'',,'',,'',,'',,'',,'',,''
Info1,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,
,0.468750000,0.000000000,0.468750000,0.004072268,0.468750000,0.000000000,0.468750000,0.003165806,0.468750000,0.000000000,0.468750000,0.005458020,0.468750000,0.000000000
,0.484375000,0.000000000,0.484375000,0.004049232,0.484375000,0.000000000,0.484375000,0.003155143,0.484375000,0.000000000,0.484375000,0.005554034,0.484375000,0.000000000
,0.500000000,0.000000000,0.500000000,0.004058398,0.500000000,0.000000000,0.500000000,0.003214183,0.500000000,0.000000000,0.500000000,0.005585202,0.500000000,0.000000000
,0.515625000,0.000000000,0.515625000,0.004069805,0.515625000,0.000000000,0.515625000,0.003216977,0.515625000,0.000000000,0.515625000,0.005551776,0.515625000,0.000000000
,0.531250000,0.000000000,0.531250000,0.004010242,0.531250000,0.000000000,0.531250000,0.003257266,0.531250000,0.000000000,0.531250000,0.005411967,0.531250000,0.000000000
,0.546875000,0.000000000,0.546875000,0.004004928,0.546875000,0.000000000,0.546875000,0.003278079,0.546875000,0.000000000,0.546875000,0.005375738,0.546875000,0.000000000
,0.562500000,0.000000000,0.562500000,0.003966327,0.562500000,0.000000000,0.562500000,0.003290881,0.562500000,0.000000000,0.562500000,0.005232887,0.562500000,0.000000000
,0.578125000,0.000000000,0.578125000,0.003963746,0.578125000,0.000000000,0.578125000,0.003424435,0.578125000,0.000000000,0.578125000,0.005220873,0.578125000,0.000000000
,0.593750000,0.000000000,0.593750000,0.003940792,0.593750000,0.000000000,0.593750000,0.003468479,0.593750000,0.000000000,0.593750000,0.005181578,0.593750000,0.000000000
,0.609375000,0.000000000,0.609375000,0.003937888,0.609375000,0.000000000,0.609375000,0.003521957,0.609375000,0.000000000,0.609375000,0.005192647,0.609375000,0.000000000
,0.625000000,0.000000000,0.625000000,0.003919443,0.625000000,0.000000000,0.625000000,0.003538036,0.625000000,0.000000000,0.625000000,0.005158857,0.625000000,0.000000000
,0.640625000,0.000000000,0.640625000,0.003935273,0.640625000,0.000000000,0.640625000,0.003646721,0.640625000,0.000000000,0.640625000,0.005067667,0.640625000,0.000000000
,0.656250000,0.000000000,0.656250000,0.003922149,0.656250000,0.000000000,0.656250000,0.003652220,0.656250000,0.000000000,0.656250000,0.005135151,0.656250000,0.000000000
,0.671875000,0.000000000,0.671875000,0.003917379,0.671875000,0.000000000,0.671875000,0.003711262,0.671875000,0.000000000,0.671875000,0.005001593,0.671875000,0.000000000
,0.687500000,0.000000000,0.687500000,0.003950467,0.687500000,0.000000000,0.687500000,0.003767168,0.687500000,0.000000000,0.687500000,0.004984067,0.687500000,0.000000000
,0.703125000,0.000000000,0.703125000,0.003934961,0.703125000,0.000000000,0.703125000,0.004017591,0.703125000,0.000000000,0.703125000,0.005079945,0.703125000,0.000000000
,0.718750000,0.000000000,0.718750000,0.003945372,0.718750000,0.000000000,0.718750000,0.004285924,0.718750000,0.000000000,0.718750000,0.005075578,0.718750000,0.000000000
,0.734375000,0.000000000,0.734375000,0.003993899,0.734375000,0.000000000,0.734375000,0.004542951,0.734375000,0.000000000,0.734375000,0.005027776,0.734375000,0.000000000
,0.750000000,0.000000000,0.750000000,0.003967157,0.750000000,0.000000000,0.750000000,0.004760738,0.750000000,0.000000000,0.750000000,0.005033136,0.750000000,0.000000000
,0.765625000,0.000000000,0.765625000,0.003934945,0.765625000,0.000000000,0.765625000,0.004909893,0.765625000,0.000000000,0.765625000,0.004974719,0.765625000,0.000000000
,0.781250000,0.000000000,0.781250000,0.003989839,0.781250000,0.000000000,0.781250000,0.005083919,0.781250000,0.000000000,0.781250000,0.004848736,0.781250000,0.000000000
,0.796875000,0.000000000,0.796875000,0.004038296,0.796875000,0.000000000,0.796875000,0.005251859,0.796875000,0.000000000,0.796875000,0.004873304,0.796875000,0.000000000
,0.812500000,0.000000000,0.812500000,0.004029827,0.812500000,0.000000000,0.812500000,0.005453272,0.812500000,0.000000000,0.812500000,0.004931815,0.812500000,0.000000000
,0.828125000,0.000000000,0.828125000,0.003984116,0.828125000,0.000000000,0.828125000,0.005724113,0.828125000,0.000000000,0.828125000,0.005129809,0.828125000,0.000000000
,0.843750000,0.000000000,0.843750000,0.004020825,0.843750000,0.000000000,0.843750000,0.005830172,0.843750000,0.000000000,0.843750000,0.005189992,0.843750000,0.000000000
,0.859375000,0.000000000,0.859375000,0.004016063,0.859375000,0.000000000,0.859375000,0.005832213,0.859375000,0.000000000,0.859375000,0.005166082,0.859375000,0.000000000
,0.875000000,0.000000000,0.875000000,0.004176342,0.875000000,0.000000000,0.875000000,0.005782395,0.875000000,0.000000000,0.875000000,0.005124813,0.875000000,0.000000000
,0.890625000,0.000000000,0.890625000,0.004341417,0.890625000,0.000000000,0.890625000,0.005714975,0.890625000,0.000000000,0.890625000,0.005033719,0.890625000,0.000000000
,0.906250000,0.000000000,0.906250000,0.004528398,0.906250000,0.000000000,0.906250000,0.005660608,0.906250000,0.000000000,0.906250000,0.004944284,0.906250000,0.000000000
,0.921875000,0.000000000,0.921875000,0.004597557,0.921875000,0.000000000,0.921875000,0.005506819,0.921875000,0.000000000,0.921875000,0.004859794,0.921875000,0.000000000
,0.937500000,0.000000000,0.937500000,0.004792801,0.937500000,0.000000000,0.937500000,0.005387133,0.937500000,0.000000000,0.937500000,0.004799020,0.937500000,0.000000000
,0.953125000,0.000000000,0.953125000,0.005277266,0.953125000,0.000000000,0.953125000,0.005217990,0.953125000,0.000000000,0.953125000,0.004736478,0.953125000,0.000000000
,0.968750000,0.000000000,0.968750000,0.005584181,0.968750000,0.000000000,0.968750000,0.005145900,0.968750000,0.000000000,0.968750000,0.004703773,0.968750000,0.000000000
,0.984375000,0.000000000,0.984375000,0.005873660,0.984375000,0.000000000,0.984375000,0.004996131,0.984375000,0.000000000,0.984375000,0.004728601,0.984375000,0.000000000
,1.000000000,0.000000000,1.000000000,0.006340502,1.000000000,0.000000000,1.000000000,0.004898546,1.000000000,0.000000000,1.000000000,0.004682982,1.000000000,0.000000000
,1.015625000,0.000000000,1.015625000,0.006526633,1.015625000,0.000000000,1.015625000,0.004781645,1.015625000,0.000000000,1.015625000,0.004680004,1.015625000,0.000000000
,1.031250000,0.000000000,1.031250000,0.006603283,1.031250000,0.000000000,1.031250000,0.004679924,1.031250000,0.000000000,1.031250000,0.004673768,1.031250000,0.000000000
,1.046875000,0.000000000,1.046875000,0.006634096,1.046875000,0.000000000,1.046875000,0.004546983,1.046875000,0.000000000,1.046875000,0.004625965,1.046875000,0.000000000
,1.062500000,0.000000000,1.062500000,0.006799161,1.062500000,0.000000000,1.062500000,0.004442463,1.062500000,0.000000000,1.062500000,0.004586793,1.062500000,0.000000000
,1.078125000,0.000000000,1.078125000,0.007076549,1.078125000,0.000000000,1.078125000,0.004334243,1.078125000,0.000000000,1.078125000,0.004562100,1.078125000,0.000000000
,1.093750000,0.000000000,1.093750000,0.007200931,1.093750000,0.000000000,1.093750000,0.004288168,1.093750000,0.000000000,1.093750000,0.004610473,1.093750000,0.000000000
