C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,39.0625,-0.0805572,0.2309898,39.0625,0.4248672,-0.3908829,39.0625,-1.1412888,0.7271811,39.0625,0.0084708,-0.0790517,39.0625,-0.0454942,0.2080005,39.0625,-0.4541634,0.2100062
,40.625,0.2157191,0.1216144,40.625,-0.3428245,-0.4690471,40.625,0.6304723,1.2381942,40.625,-0.0696245,-0.0154086,40.625,0.1882037,0.070884,40.625,0.1435441,0.468861
,42.1875,0.2382898,-0.0999215,42.1875,-0.5758792,-0.0025232,42.1875,1.379397,0.2003324,42.1875,-0.0530337,0.0397186,42.1875,0.1653124,-0.0985012,42.1875,0.4326946,0.1672373
,43.75,0.0249039,-0.2830727,43.75,-0.3234062,0.4997909,43.75,0.9112397,-1.1109341,43.75,-0.0058349,0.0733233,43.75,0.0107523,-0.1977566,43.75,0.3845131,-0.2289802
,45.3125,-0.2496554,-0.1440525,45.3125,0.2273494,0.5492954,45.3125,-0.4226939,-1.3650672,45.3125,0.0714979,0.0133406,45.3125,-0.1559107,-0.1108543,45.3125,-0.2216408,0.4518588
,46.875,-0.1708664,0.1481861,46.875,0.6066762,0.0999913,46.875,-1.4304297,-0.3453223,46.875,0.0102731,-0.0532044,46.875,-0.1519274,0.0660021,46.875,-0.4239063,-0.4404056
,48.4375,-0.0290804,0.1609304,48.4375,0.4971753,-0.3515212,48.4375,-1.2203419,0.7357469,48.4375,0.030017,0.0385647,48.4375,-0.0739066,0.1291383,48.4375,-0.5922777,0.0337527
,50,-0.0384552,-0.1583884,50,0.2453683,-0.5658965,50,-0.677996,1.2399139,50,0.0066696,0.0519849,50,-0.0131235,0.1488036,50,-0.4857695,0.3445352
,51.5625,0.0972666,-0.2003158,51.5625,0.049005,-0.5750328,51.5625,-0.2564609,1.2911547,51.5625,0.0538629,-0.028115,51.5625,0.0218469,0.1355614,51.5625,-0.3387736,0.458396
,53.125,0.0907355,0.3791079,53.125,0.1255695,-0.4944046,53.125,-0.4295453,1.1130672,53.125,0.0416139,0.0598718,53.125,-0.044547,0.0984353,53.125,-0.3406708,0.4761373
,54.6875,0.3901671,-0.2413119,54.6875,0.5844471,0.0011373,54.6875,-1.3472028,-0.1566199,54.6875,-0.0249559,0.0802594,54.6875,-0.1373196,-0.060184,54.6875,0.5109722,0.3065563
,56.25,-0.4139242,-0.1136099,56.25,0.0095946,0.6272812,56.25,0.3464901,-1.5391691,56.25,-0.1032927,-0.0936591,56.25,0.0974428,-0.2179042,56.25,0.0363361,-0.6383532
,57.8125,0.0784136,0.3656924,57.8125,-0.407758,0.5249801,57.8125,1.4928982,-1.1900824,57.8125,-0.1791899,0.0176649,57.8125,0.2593565,-0.1785653,57.8125,0.4258299,-0.486614
,59.375,0.0602984,-0.2741002,59.375,-0.7079618,0.0414746,59.375,2.1772602,0.2310423,59.375,-0.1828025,-0.0660315,59.375,0.3655377,0.0241723,59.375,0.6459737,0.0153276
,60.9375,0.274714,0.0163714,60.9375,-0.5925793,-0.4850073,60.9375,1.6621898,1.6300539,60.9375,0.0352351,0.1546217,60.9375,0.304805,0.2341441,60.9375,0.4446923,0.4587999
,62.5,-0.3264495,-0.0167025,62.5,-0.0049731,-0.7862493,62.5,-0.1437147,2.4206612,62.5,0.0712983,-0.1319758,62.5,0.0559228,0.3876888,62.5,-0.1207334,0.6237561
,64.0625,0.3350312,0.1266516,64.0625,0.6963218,-0.3442239,64.0625,-2.1913133,1.031148,64.0625,0.1567816,0.0025029,64.0625,-0.3098107,0.2340642,64.0625,-0.6256517,0.1282381
