C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,4090.625,-0.0979279,0.5433019,4090.625,-0.1242001,0.0693301,4090.625,-0.1281914,0.560488,4090.625,-1.062688,0.5523927,4090.625,-0.4569952,0.2537278,4090.625,0.1560435,-0.2964268
,4092.1875,0.2922538,-0.3538397,4092.1875,0.139795,-0.0191212,4092.1875,0.1106608,-0.5111699,4092.1875,0.0751854,-1.2277392,4092.1875,0.0747953,-0.4156154,4092.1875,-0.0191611,-0.3219706
,4093.75,-0.450588,0.2510452,4093.75,-0.1224961,0.022218,4093.75,-0.001313,0.4861898,4093.75,0.7241788,0.8061575,4093.75,-0.4022073,-0.0387656,4093.75,0.0631395,-0.3561697
,4095.3125,-0.5493286,-0.0225062,4095.3125,0.0709857,-0.0630125,4095.3125,-0.1393813,0.3629112,4095.3125,0.5526448,-0.6541288,4095.3125,0.3074984,0.3804164,4095.3125,0.0513858,0.3427791
,4096.875,0.5010936,-0.1385561,4096.875,-0.0235155,0.0701755,4096.875,0.2678156,0.1377066,4096.875,-0.5417299,-0.315913,4096.875,-0.0878445,-0.5777106,4096.875,-0.2460718,-0.2098195
,4098.4375,-0.1645531,-0.375164,4098.4375,-0.0150574,-0.0826337,4098.4375,0.3184702,0.0103879,4098.4375,-0.3187072,1.0916214,4098.4375,0.1110248,0.5911745,4098.4375,0.3743455,-0.0173708
,4100,-0.1501251,0.5398442,4100,-0.1065391,-0.0422785,4100,-0.2751969,0.2568166,4100,1.1187038,-0.8442116,4100,-0.2544163,-0.507836,4100,-0.0776467,0.3608431
,4101.5625,0.4242471,-0.5509965,4101.5625,0.1249747,0.0222012,4101.5625,0.1907008,-0.3127658,4101.5625,-1.3002563,-0.1898276,4101.5625,-0.0743268,0.4642901,4101.5625,0.0109141,-0.3461619
,4103.125,-0.4190715,0.7531409,4103.125,-0.0839701,0.0344019,4103.125,-0.2605841,0.2601059,4103.125,1.2311927,0.8029765,4103.125,0.0596603,-0.3857187,4103.125,0.0248815,0.3454672
,4104.6875,0.1454284,-0.8830592,4104.6875,0.0747475,0.0212923,4104.6875,-0.339805,0.0062437,4104.6875,-1.3447373,-0.794132,4104.6875,0.0199916,-0.3582187,4104.6875,-0.0941562,-0.3240121
,4106.25,0.2506439,-0.4487031,4106.25,-0.0418179,-0.0831165,4106.25,-0.3297486,0.0409715,4106.25,1.2420911,0.5375813,4106.25,0.0444486,-0.3342422,4106.25,0.1093386,-0.2607884
,4107.8125,-0.4678263,0.1450803,4107.8125,-0.0289846,-0.1161773,4107.8125,0.2536205,0.209806,4107.8125,-1.2709727,0.2491133,4107.8125,0.1995383,0.3330916,4107.8125,-0.1543538,0.1547923
,4109.375,-0.3997124,-0.2990602,4109.375,0.0531128,0.0984263,4109.375,-0.0755797,-0.3962971,4109.375,1.1525543,-1.0293617,4109.375,-0.2931547,-0.2500432,4109.375,-0.0869363,-0.2810178
,4110.9375,0.3170894,-0.3795356,4110.9375,0.0776517,0.0217306,4110.9375,-0.0111503,0.364466,4110.9375,-0.1508446,0.8879455,4110.9375,0.0527933,0.4091219,4110.9375,-0.1526689,0.3594563
,4112.5,0.606391,0.4148797,4112.5,0.0172297,0.0976138,4112.5,0.0106301,0.3525386,4112.5,0.43398,0.4839163,4112.5,0.2622871,-0.382396,4112.5,0.3085974,-0.3726897
,4114.0625,0.5280356,0.1117618,4114.0625,-0.0420156,-0.0821324,4114.0625,-0.0092508,-0.3662291,4114.0625,-0.3687888,0.6182823,4114.0625,0.5146917,0.0467593,4114.0625,-0.2183528,0.3224321
,4115.625,-0.5163687,-0.2017225,4115.625,0.0732251,0.0451298,4115.625,0.0895489,0.2791646,4115.625,1.0120535,-0.0058502,4115.625,-0.2784033,-0.4211268,4115.625,0.0440228,-0.2772608
,4117.1875,0.5964168,-0.3528389,4117.1875,-0.0737933,-0.0196106,4117.1875,0.261656,0.2531766,4117.1875,-0.7167861,-0.6645721,4117.1875,-0.1891052,0.5687392,4117.1875,-0.1533816,0.2781596
,4118.75,-0.5420446,0.2861341,4118.75,-0.0210079,-0.0899351,4118.75,0.2830623,-0.3302337,4118.75,0.3108376,-0.582818,4118.75,-0.2529112,-0.5477253,4118.75,-0.1115486,-0.2777386
,4120.3125,0.4358768,-0.2093609,4120.3125,0.0029835,0.0811095,4120.3125,0.1798252,-0.2040546,4120.3125,0.8234729,0.3897725,4120.3125,-0.4529731,0.137612,4120.3125,0.209631,0.0894815
,4121.875,-0.4556592,0.3940243,4121.875,-0.0412287,-0.0500019,4121.875,0.1929459,0.3371512,4121.875,-0.7228373,-0.8780364,4121.875,0.2984984,0.3879566,4121.875,-0.1906785,-0.2069905
,4123.4375,0.3496073,-0.6793953,4123.4375,0.0768702,-0.0151777,4123.4375,0.4432265,0.1056765,4123.4375,0.2914878,1.0598052,4123.4375,-0.0255034,-0.5145713,4123.4375,0.20004,0.2154982
,4125,-0.0895102,0.8049281,4125,-0.0927596,-0.0035142,4125,0.4680179,0.2464255,4125,0.1170066,-1.2688984,4125,-0.8446144,0.0102034,4125,-0.35262,0.1179808
,4126.5625,-0.0086038,-0.7409618,4126.5625,0.049821,-0.0748862,4126.5625,-0.5438612,-0.2262346,4126.5625,-1.2298459,-1.0842335,4126.5625,-0.9787098,0.3983884,4126.5625,0.5461607,-0.054998
,4128.125,-0.5339813,-0.1251443,4128.125,-0.0731949,-0.0309425,4128.125,0.4882088,-0.3374908,4128.125,0.487467,-1.4884256,4128.125,0.1402269,1.0201249,4128.125,0.0772149,0.5004717
,4129.6875,0.0475694,0.5289916,4129.6875,-0.0618192,0.0374585,4129.6875,-0.1667466,0.3004072,4129.6875,-0.0941627,1.1749381,4129.6875,0.3763057,0.5698726,4129.6875,0.1248314,0.2270007
,4131.25,0.3816046,-0.3659101,4131.25,0.0731854,-0.0027841,4131.25,-0.3396059,-0.0664663,4131.25,-0.9598551,-0.3204544,4131.25,-0.2792245,0.209353,4131.25,-0.2155642,-0.1699697
,4132.8125,-0.3087818,-0.3742059,4132.8125,0.0661172,0.0529045,4132.8125,0.3678245,0.0219523,4132.8125,0.6456947,-0.271397,4132.8125,0.1644984,0.3606673,4132.8125,0.2971387,0.0995121
,4134.375,0.557608,-0.0906265,4134.375,-0.0801372,-0.0379421,4134.375,-0.3652383,0.1432607,4134.375,0.0091092,0.7348541,4134.375,-0.3852622,0.2977631,4134.375,-0.2766443,0.1029158
,4135.9375,0.2562468,0.6215453,4135.9375,-0.0521689,-0.0545756,4135.9375,0.328578,-0.2228632,4135.9375,1.0035522,-0.0549432,4135.9375,-0.0967909,0.494489,4135.9375,-0.0810879,0.2425902
,4137.5,-0.4656225,0.4181084,4137.5,0.0888728,0.0167399,4137.5,0.0467358,0.2934743,4137.5,-0.4146761,-0.984937,4137.5,0.0470447,-0.5723541,4137.5,0.1054985,-0.2774772
,4139.0625,0.5500608,0.184667,4139.0625,-0.0148536,-0.0747547,4139.0625,-0.1639472,-0.2144111,4139.0625,-0.759721,1.2221867,4139.0625,0.126653,0.5581122,4139.0625,-0.1945628,0.2238873
,4140.625,-0.4287243,-0.5391484,4140.625,0.0367219,0.0530909,4140.625,-0.1918686,0.2749791,4140.625,1.360628,-0.9070327,4140.625,-0.333347,-0.2987335,4140.625,0.3436189,-0.0443677
,4142.1875,0.4629352,0.527104,4142.1875,-0.0334057,-0.0895729,4142.1875,0.1961896,-0.2119572,4142.1875,-1.2260903,0.7144551,4142.1875,-0.0947978,-0.3697504,4142.1875,-0.2680114,-0.0071483
,4143.75,-0.5738984,-0.5204844,4143.75,0.0370196,0.0863136,4143.75,0.2575836,-0.1025689,4143.75,0.842443,-0.883784,4143.75,-0.1755529,0.2757946,4143.75,-0.042021,-0.2625019
,4145.3125,0.6321633,0.2366893,4145.3125,-0.0666671,-0.0414352,4145.3125,0.0549627,0.2739739,4145.3125,-0.4706764,1.0989513,4145.3125,0.1802289,-0.2545984,4145.3125,-0.2502329,-0.1187515
,4146.875,-0.6496935,0.2673138,4146.875,-0.0851691,-0.0111858,4146.875,0.1452262,-0.3154209,4146.875,-0.2591408,-0.9789608,4146.875,0.2966083,-0.1716488,4146.875,0.2169063,0.2001955
,4148.4375,-0.2673647,-0.4977508,4148.4375,0.1046196,-0.0079864,4148.4375,-0.1484879,-0.2608656,4148.4375,0.7849107,0.31367,4148.4375,-0.2530925,-0.2652541,4148.4375,-0.2466973,-0.1158478
,4150,-0.5562244,-0.2049724,4150,-0.0902832,0.0365759,4150,-0.212491,-0.1533449,4150,0.4698904,0.3066598,4150,-0.0089696,0.3586636,4150,0.2368559,0.0310485
,4151.5625,0.3311796,0.4531455,4151.5625,-0.0692812,-0.00317,4151.5625,0.1801854,0.266621,4151.5625,-0.7189742,-0.4272835,4151.5625,0.3133544,-0.3118586,4151.5625,0.2020418,-0.1402973
,4153.125,0.6572781,0.2202668,4153.125,0.0745753,0.0344929,4153.125,-0.0985774,-0.3783881,4153.125,0.5218686,-0.6973239,4153.125,-0.5119439,0.026932,4153.125,-0.348347,-0.0064276
,4154.6875,0.6259212,-0.5751085,4154.6875,-0.0719152,0.0556038,4154.6875,0.020524,0.4112628,4154.6875,0.8298132,0.6104043,4154.6875,0.5545642,0.1825923,4154.6875,0.4004907,0.1155804
,4156.25,0.5308685,0.3145518,4156.25,0.0754211,-0.0331822,4156.25,-0.1122584,0.2667425,4156.25,0.5971717,0.8304011,4156.25,-0.4945324,-0.1174491,4156.25,-0.3318848,-0.0632572
,4157.8125,0.5718675,-0.2906682,4157.8125,-0.0522035,-0.0553738,4157.8125,0.1083973,-0.2884464,4157.8125,0.0421236,-1.0260975,4157.8125,0.4537533,-0.2944068,4157.8125,0.2907752,0.0880994
,4159.375,0.5657854,-0.2498691,4159.375,0.0657495,0.0507306,4159.375,-0.2840513,-0.0949052,4159.375,-0.4893824,0.9298977,4159.375,-0.2593988,0.3519106,4159.375,-0.2856477,-0.02895
,4160.9375,-0.2259556,0.7094512,4160.9375,-0.0757759,-0.0072727,4160.9375,0.23026,0.1606092,4160.9375,0.6382578,-0.7466308,4160.9375,-0.0372398,-0.434235,4160.9375,0.18153,-0.1237735
,4162.5,0.4997972,-0.4159625,4162.5,0.0690728,-0.0195827,4162.5,-0.2624824,-0.0684771,4162.5,-0.55836,-0.6104603,4162.5,0.3622598,0.3692941,4162.5,-0.2385278,0.0296386
,4164.0625,0.4655377,-0.2730295,4164.0625,-0.0625353,-0.0368015,4164.0625,0.3156176,0.1542462,4164.0625,-0.6009115,0.4364458,4164.0625,-0.494699,-0.0514099,4164.0625,0.1519708,-0.1591119
,4165.625,0.3856246,-0.2481395,4165.625,0.0163371,0.0647936,4165.625,-0.2175789,-0.1356972,4165.625,0.2165744,0.7713401,4165.625,0.1479311,-0.3525888,4165.625,-0.1941129,0.1167827
,4167.1875,0.6834134,-0.1034291,4167.1875,0.0155613,-0.0618445,4167.1875,-0.2402559,0.1382153,4167.1875,-0.7772378,-0.6642178,4167.1875,-0.5406066,0.1130135,4167.1875,-0.1597189,-0.158829
,4168.75,-0.8927045,0.263495,4168.75,-0.05811,0.0398367,4168.75,-0.1853485,-0.3134229,4168.75,0.9774458,0.0033857,4168.75,0.5078238,-0.2733109,4168.75,-0.0489869,-0.2794689
,4170.3125,-0.0445908,-0.9504878,4170.3125,0.0609869,-0.0317834,4170.3125,0.2331546,0.2632782,4170.3125,-1.2372218,0.6511564,4170.3125,-0.3824126,0.8763455,4170.3125,-0.0521947,0.2986794
,4171.875,0.9092787,0.9801939,4171.875,0.0626003,-0.0023845,4171.875,0.1952913,-0.3331023,4171.875,-1.8973536,-0.1982437,4171.875,-0.9596672,-0.7299033,4171.875,-0.3211905,-0.2581555
,4173.4375,0.462909,-1.254415,4173.4375,-0.0175683,-0.0821481,4173.4375,-0.411333,-0.0384498,4173.4375,-1.4705884,-1.3390677,4173.4375,-0.5615726,-1.1170084,4173.4375,-0.1125476,-0.4183206
,4175,-0.8688215,0.4009383,4175,0.0413132,0.067009,4175,0.4018835,-0.1096369,4175,0.6814864,-1.4235574,4175,0.7832056,-0.4831558,4175,0.2316757,-0.2597541
,4176.5625,0.3165149,-0.6497286,4176.5625,0.0632274,0.022515,4176.5625,-0.2244126,-0.037761,4176.5625,-0.5107732,-0.6228023,4176.5625,-0.3224217,0.2939868,4176.5625,-0.2218297,-0.1666794
,4178.125,0.6431941,-0.3260054,4178.125,-0.05978,-0.0147687,4178.125,-0.2024937,-0.1586104,4178.125,0.0792989,1.0864685,4178.125,0.0980995,0.2625653,4178.125,-0.0138998,0.2298204
,4179.6875,-0.7498921,-0.2904465,4179.6875,0.0363058,0.0364964,4179.6875,0.0690389,0.4145464,4179.6875,0.3289061,-1.1898571,4179.6875,0.0166454,-0.3466524,4179.6875,0.0443258,-0.2525871
,4181.25,0.8425996,0.6239327,4181.25,-0.0346347,0.0413807,4181.25,0.0312912,-0.5357072,4181.25,-0.4466316,1.0889091,4181.25,-0.3897369,0.0324705,4181.25,-0.0638233,0.25813
,4182.8125,-0.9830049,-0.6654321,4182.8125,0.0542791,0.0039192,4182.8125,0.0029452,0.4393302,4182.8125,0.2348138,-1.0189915,4182.8125,-0.076304,-0.330966,4182.8125,0.0520232,-0.2579353
,4184.375,0.9532569,0.2443463,4184.375,-0.0389304,0.0466934,4184.375,0.2607294,0.2364909,4184.375,-0.8421373,0.0048554,4184.375,0.3957641,0.1143247,4184.375,-0.1679116,0.1779568
,4185.9375,-0.8254065,0.4169354,4185.9375,-0.0434273,0.0830299,4185.9375,0.282342,-0.0120135,4185.9375,0.5622485,-0.4278001,4185.9375,-0.4777293,-0.2461269,4185.9375,-0.154477,0.1163141
,4187.5,0.4810212,-0.8245882,4187.5,0.068787,-0.0808402,4187.5,-0.2547623,0.0873883,4187.5,-0.4834009,0.41263,4187.5,0.5640133,0.2991197,4187.5,0.0881798,0.1744948
,4189.0625,0.1063418,0.6794659,4189.0625,-0.0556917,0.0467399,4189.0625,0.082478,-0.2894382,4189.0625,-0.6502231,0.2581582,4189.0625,-0.6653284,-0.1879114,4189.0625,-0.1530181,-0.2008137
,4190.625,-0.5469394,0.2568563,4190.625,0.0278766,-0.0521933,4190.625,0.180098,-0.2666066,4190.625,-0.5944523,-0.2621258,4190.625,-0.1227554,-0.3853398,4190.625,-0.1862469,-0.0741385
,4192.1875,-0.283029,-0.5872336,4192.1875,-0.0133595,0.0883505,4192.1875,-0.205442,0.1952134,4192.1875,0.7071379,0.2967837,4192.1875,-0.4663822,-0.0814827,4192.1875,0.169194,0.1464265
,4193.75,0.5995778,0.0459002,4193.75,0.0070983,-0.0850852,4193.75,0.1748807,-0.2104305,4193.75,-0.7113424,-0.1980154,4193.75,0.5085847,0.0611439,4193.75,0.2175621,0.1493329
,4195.3125,0.3870059,-0.6169783,4195.3125,0.0554787,-0.0239843,4195.3125,-0.1378783,0.2190175,4195.3125,0.1554103,-0.6491896,4195.3125,-0.4620948,0.153271,4195.3125,-0.2292147,-0.0491914
,4196.875,-0.0822282,0.7674843,4196.875,-0.0519451,0.0159998,4196.875,-0.3395723,0.0742393,4196.875,-0.5259401,0.6170085,4196.875,0.1563379,-0.3699864,4196.875,-0.0394447,0.1739806
,4198.4375,-0.7047557,0.3657098,4198.4375,-0.0408008,-0.0248895,4198.4375,0.4431945,-0.0368243,4198.4375,0.3252434,-0.9427372,4198.4375,0.2460669,0.3078507,4198.4375,0.1144937,-0.1664674
,4200,-0.4914914,0.5177271,4200,0.0006055,-0.0597594,4200,-0.3782832,-0.0323912,4200,-0.4229838,0.9536836,4200,-0.4343108,-0.1405644,4200,-0.2909191,0.0457139
,4201.5625,0.7534459,-0.3296129,4201.5625,0.043387,0.0344788,4201.5625,-0.3123318,0.0586131,4201.5625,0.8592336,-0.376242,4201.5625,0.4173858,-0.1531431,4201.5625,0.2687087,-0.1501991
,4203.125,-0.9411732,0.1827707,4203.125,-0.0116372,-0.059851,4203.125,0.2764575,0.0534031,4203.125,0.4668482,0.6340941,4203.125,-0.3783628,0.3162337,4203.125,0.0263999,0.2294449
,4204.6875,1.1252706,-0.1079613,4204.6875,-0.0339164,-0.0427416,4204.6875,-0.2915844,-0.1338775,4204.6875,-0.0198946,-0.6240681,4204.6875,0.4452333,-0.3554667,4204.6875,0.0948189,0.2712669
,4206.25,-1.2503188,0.3842877,4206.25,0.0752859,0.0232083,4206.25,0.3392799,0.0653576,4206.25,-0.1493025,-0.5834963,4206.25,-0.2932455,0.4249947,4206.25,-0.065263,-0.2388115
,4207.8125,0.8425913,-0.9243641,4207.8125,-0.0835942,-0.0646638,4207.8125,-0.3136342,0.1572697,4207.8125,0.2039763,-0.4956336,4207.8125,0.0682729,-0.4430466,4207.8125,0.1387425,0.1385358
,4209.375,0.0737964,1.1120706,4209.375,0.0661392,0.0768074,4209.375,0.1454478,-0.3257479,4209.375,0.4870773,0.4264745,4209.375,0.099705,0.3858129,4209.375,-0.1334915,-0.1471747
,4210.9375,0.6653181,-0.5664815,4210.9375,-0.0267441,-0.0564804,4210.9375,0.1141751,0.2562956,4210.9375,-0.3101687,-0.6525108,4210.9375,0.1382395,0.3499297,4210.9375,-0.1911791,-0.1191871
,4212.5,0.5282088,-0.954459,4212.5,-0.0275418,-0.0604676,4212.5,-0.3261572,0.2009594,4212.5,0.0830018,-0.8651991,4212.5,0.3288778,-0.2479253,4212.5,-0.1445655,-0.1908175
,4214.0625,-1.4299432,0.6318863,4214.0625,-0.0321969,-0.0553228,4214.0625,0.4948694,0.0569483,4214.0625,-0.6805429,0.830516,4214.0625,0.1384776,0.3843761,4214.0625,0.1792864,0.08132
,4215.625,0.6327752,-1.6710987,4215.625,0.0888625,-0.0195701,4215.625,-0.4607042,-0.2138086,4215.625,0.8309098,-0.5499753,4215.625,-0.1906595,-0.3533906,4215.625,0.1377433,-0.0860338
,4217.1875,-1.0651258,2.7734432,4217.1875,-0.1434634,-0.0000047,4217.1875,-0.3945039,0.5817163,4217.1875,0.5746894,-0.6102107,4217.1875,0.5601641,-0.0952999,4217.1875,-0.1558823,0.1692637
,4218.75,2.5224228,1.8729931,4218.75,-0.1268418,0.0559516,4218.75,-0.5025755,-0.7249339,4218.75,0.6222982,0.6215992,4218.75,-0.0673163,0.5330418,4218.75,-0.2950019,-0.1834691
,4220.3125,1.8697606,-1.8369631,4220.3125,0.1349273,0.0907767,4220.3125,-0.6969318,0.2427651,4220.3125,-0.8076813,0.3148471,4220.3125,-0.3579744,-0.1814589,4220.3125,0.1002073,-0.3090249
,4221.875,0.5839112,1.0960679,4221.875,-0.0742896,0.0622342,4221.875,-0.0412743,-0.3379003,4221.875,0.285893,-0.5958741,4221.875,0.4105613,0.0270494,4221.875,-0.0614221,-0.206641
,4223.4375,-0.3833996,0.5473398,4223.4375,-0.0482935,-0.0257638,4223.4375,-0.1459655,0.2070439,4223.4375,0.3302655,0.4767901,4223.4375,-0.1182078,-0.4123337,4223.4375,0.1425025,-0.1186744
,4225,-0.026433,0.644953,4225,-0.0201606,0.0544881,4225,-0.2628452,0.152385,4225,-0.5944462,0.3039808,4225,-0.3250668,0.4432804,4225,-0.1907157,0.2062895
,4226.5625,-0.4929715,-0.4256663,4226.5625,0.0289989,-0.0539192,4226.5625,0.3009532,-0.0738515,4226.5625,-0.5860285,0.4214736,4226.5625,-0.5664959,0.2212018,4226.5625,0.1928415,-0.1824358
,4228.125,0.5796283,0.5375215,4228.125,-0.0563232,-0.0533938,4228.125,0.1909523,-0.1473652,4228.125,-0.8017692,-0.2428914,4228.125,0.7418674,-0.2970982,4228.125,0.0540809,-0.2197324
,4229.6875,-0.6651998,-0.7755574,4229.6875,0.0788222,0.0447558,4229.6875,0.2393658,0.1146888,4229.6875,0.710596,0.3680613,4229.6875,-0.5662283,0.4496012,4229.6875,-0.0274946,0.2916938
,4231.25,0.6697326,0.796584,4231.25,-0.0818044,0.0286081,4231.25,-0.0602374,0.2959723,4231.25,-0.3122798,-0.7113132,4231.25,0.1209776,-0.4799114,4231.25,-0.0567074,-0.2878611
,4232.8125,-0.6606581,-0.1293937,4232.8125,0.0677725,-0.0353158,4232.8125,0.2189174,-0.1541884,4232.8125,0.6516111,-0.1044819,4232.8125,0.299066,-0.2713984,4232.8125,0.1036817,0.1620996
,4234.375,0.5751345,0.1541985,4234.375,-0.0354287,0.0507072,4234.375,-0.2050971,-0.1109676,4234.375,-0.3371067,0.5513489,4234.375,-0.2796778,0.3257908,4234.375,0.2090852,-0.0137194
,4235.9375,0.3830458,0.3847612,4235.9375,0.0548127,0.0173258,4235.9375,-0.2216828,0.0419687,4235.9375,0.4513954,-0.5460917,4235.9375,0.3636942,-0.3218388,4235.9375,-0.1643292,0.0993322
,4237.5,0.5164517,-0.2208797,4237.5,-0.05406,0.0160375,4237.5,0.2110926,-0.2043542,4237.5,0.2554991,0.6309866,4237.5,-0.2706445,0.3571126,4237.5,-0.122398,-0.2019984
,4239.0625,0.598519,-0.2574009,4239.0625,0.0494717,0.029658,4239.0625,-0.2676022,-0.0009095,4239.0625,0.0028036,-0.6844388,4239.0625,-0.4522631,0.1201481,4239.0625,-0.0450481,-0.1934989
,4240.625,-0.5235472,-0.0883221,4240.625,-0.0549924,-0.0053671,4240.625,-0.1883077,-0.196499,4240.625,0.3174124,0.6295953,4240.625,0.5485731,0.2077114,4240.625,0.0438209,0.2031235
,4242.1875,0.641234,0.2692133,4242.1875,0.0234351,-0.0601613,4242.1875,-0.1729133,-0.2300501,4242.1875,-0.5119995,-0.38301,4242.1875,-0.3794238,-0.3103392,4242.1875,0.0175021,-0.2013575
,4243.75,-0.7521623,0.4234222,4243.75,0.021225,0.059776,4243.75,0.17773,0.1756218,4243.75,0.4184836,0.5805015,4243.75,0.3676661,0.0692971,4243.75,-0.0576073,0.1931716
,4245.3125,0.770162,-0.2953042,4245.3125,0.0616218,0.0082218,4245.3125,-0.1202895,-0.1899262,4245.3125,-0.5156659,-0.4253544,4245.3125,-0.4249842,-0.0343356,4245.3125,0.1469524,-0.1428732
,4246.875,-0.6583783,0.1473783,4246.875,0.002664,-0.0724936,4246.875,0.2148678,-0.1339376,4246.875,0.2278542,0.5716649,4246.875,0.325993,0.3271849,4246.875,-0.100078,0.2039546
,4248.4375,0.444156,-0.5026405,4248.4375,0.0502396,-0.065949,4248.4375,-0.3083401,0.1318839,4248.4375,-0.3398821,-0.5331841,4248.4375,-0.3868328,-0.1499967,4248.4375,0.0451017,-0.2090262
,4250,-0.6130633,0.4016937,4250,-0.0181736,-0.0911684,4250,0.3519164,-0.036456,4250,-0.1084241,0.5811319,4250,0.3737952,-0.1423427,4250,-0.052848,0.1756797
,4251.5625,0.0994519,-0.6567807,4251.5625,0.0205749,0.0840337,4251.5625,0.1885457,-0.1998537,4251.5625,0.4854777,-0.2717901,4251.5625,0.3079267,-0.3152592,4251.5625,0.165732,-0.0800296
,4253.125,0.0609099,0.6276453,4253.125,-0.0000548,0.0597408,4253.125,0.0944451,-0.2799051,4253.125,-0.4390799,-0.4692385,4253.125,-0.2389832,0.4686812,4253.125,-0.1328378,0.1417994
,4254.6875,0.100636,0.7123509,4254.6875,0.0484625,-0.0124282,4254.6875,-0.2670133,0.0123281,4254.6875,0.4368681,-0.543814,4254.6875,-0.0694958,-0.5228649,4254.6875,-0.0151757,-0.2811097
,4256.25,0.1105356,-0.7353384,4256.25,-0.0368311,-0.0356,4256.25,0.2025161,-0.1164085,4256.25,0.6507415,-0.0108199,4256.25,0.309591,-0.1617976,4256.25,-0.20485,-0.0633896
,4257.8125,0.0833955,0.7091206,4257.8125,-0.0691921,-0.0165774,4257.8125,-0.040762,-0.2801667,4257.8125,-0.4857925,0.38555,4257.8125,0.1876848,-0.4068372,4257.8125,0.1994538,-0.2036726
,4259.375,0.5603916,-0.4563009,4259.375,0.0110006,0.0619002,4259.375,0.1033932,0.2529502,4259.375,-0.6823975,-0.2046618,4259.375,-0.5512015,0.1992674,4259.375,0.2497615,0.2056439
,4260.9375,-0.8710494,0.4345004,4260.9375,-0.017741,-0.0609364,4260.9375,0.2456609,-0.1856023,4260.9375,0.4440786,0.5186703,4260.9375,0.5948543,0.161042,4260.9375,0.2978094,0.216951
,4262.5,-0.2696283,1.1339116,4262.5,-0.0019915,0.0684506,4262.5,-0.3578036,0.0567675,4262.5,-1.2535313,-0.1130197,4262.5,-0.940567,0.4678955,4262.5,-0.5136131,-0.0196989
,4264.0625,-1.3767926,-0.1583365,4264.0625,0.0142203,-0.0606344,4264.0625,0.3987662,-0.1514196,4264.0625,1.3696541,0.9797956,4264.0625,1.4323364,0.2462328,4264.0625,-0.5440983,-0.3801129
,4265.625,1.0918155,-0.2260473,4265.625,-0.0074565,-0.0553018,4265.625,0.142016,-0.3878621,4265.625,0.1064113,1.2166911,4265.625,0.634074,0.9967023,4265.625,-0.489317,-0.5305605
,4267.1875,0.6660588,-0.5750952,4267.1875,-0.0094281,-0.0725652,4267.1875,-0.0176733,-0.2693256,4267.1875,-0.2370077,-0.8943326,4267.1875,-0.5832902,-0.67452,4267.1875,-0.1608725,-0.4190617
,4268.75,0.7445332,-0.4074037,4268.75,0.0030405,-0.0783833,4268.75,-0.0840723,0.2335055,4268.75,-0.596091,-0.4271034,4268.75,-0.3811994,-0.034254,4268.75,-0.1030551,0.1681282
,4270.3125,-0.5412133,0.398651,4270.3125,-0.0878234,-0.0645055,4270.3125,0.0793207,-0.2586189,4270.3125,0.2824386,0.8058064,4270.3125,0.3661742,-0.0236406,4270.3125,0.0905411,0.2135165
,4271.875,0.7713595,0.2841774,4271.875,0.0807959,0.0710995,4271.875,0.1583007,0.1857475,4271.875,-0.4864843,-0.7557654,4271.875,-0.4427929,0.0766753,4271.875,-0.1722108,-0.1894799
,4273.4375,-0.7202272,-0.0480174,4273.4375,-0.0608774,-0.0194325,4273.4375,0.2003793,-0.1023218,4273.4375,-0.0926018,0.832871,4273.4375,0.505117,0.0393142,4273.4375,0.1159153,0.1442713
,4275,0.8361417,0.1773933,4275,0.0635002,0.0142457,4275,-0.11629,-0.2210222,4275,-0.0990727,-0.5439894,4275,-0.459241,0.0299989,4275,-0.0009641,-0.2216162
,4276.5625,0.4946898,-0.6551867,4276.5625,-0.0664879,0.0178949,4276.5625,-0.0825949,0.2527207,4276.5625,-0.2476109,0.5758594,4276.5625,0.4172181,-0.1366669,4276.5625,-0.1365857,0.1960339
,4278.125,0.2262035,0.5039067,4278.125,0.0325363,-0.0575284,4278.125,-0.1392988,-0.1352758,4278.125,0.1880691,-0.5851803,4278.125,-0.1193649,-0.3537868,4278.125,0.2001873,-0.1726951
